timestamp,patient_id,entity_id,state,unit,source,domain
2026-01-01 00:00:57,patient-001,phone_battery_level,72,percent,phone,device
2026-01-01 00:13:10,patient-001,phone_battery_state,discharging,none,phone,device
2026-01-01 00:26:33,patient-001,phone_power_source,battery,none,phone,device
2026-01-01 00:39:02,patient-001,phone_screen_state,off,none,phone,device
2026-01-01 00:52:21,patient-001,phone_lock_state,unlocked,none,phone,device
2026-01-01 01:05:52,patient-001,phone_interactive_state,idle,none,phone,device
2026-01-01 01:18:45,patient-001,phone_orientation,portrait,none,phone,device
2026-01-01 01:31:49,patient-001,phone_brightness_level,72,percent,phone,device
2026-01-01 01:44:00,patient-001,phone_volume_level,31,percent,phone,device
2026-01-01 01:57:11,patient-001,phone_ringer_mode,normal,none,phone,device
2026-01-01 02:10:41,patient-001,phone_do_not_disturb_state,off,none,phone,device
2026-01-01 02:23:23,patient-001,phone_airplane_mode,off,none,phone,device
2026-01-01 02:36:02,patient-001,phone_wifi_state,connected,none,phone,device
2026-01-01 02:49:45,patient-001,phone_wifi_ssid,HomeNet,none,phone,device
2026-01-01 03:02:17,patient-001,phone_cellular_signal_strength,-66,dBm,phone,device
2026-01-01 03:15:31,patient-001,phone_bluetooth_state,on,none,phone,device
2026-01-01 03:28:59,patient-001,phone_headphones_connected,disconnected,none,phone,device
2026-01-01 03:41:20,patient-001,phone_nfc_state,on,none,phone,device
2026-01-01 03:54:47,patient-001,phone_location_latitude,40.758988,degrees,phone,location
2026-01-01 04:07:45,patient-001,phone_location_longitude,-73.972029,degrees,phone,location
2026-01-01 04:20:23,patient-001,phone_location_accuracy,10.0,meters,phone,location
2026-01-01 04:33:25,patient-001,phone_location_altitude,-4.6,meters,phone,location
2026-01-01 04:46:11,patient-001,phone_location_speed,0.14,m/s,phone,location
2026-01-01 04:59:24,patient-001,phone_location_bearing,133,degrees,phone,location
2026-01-01 05:12:16,patient-001,phone_accelerometer_x,3.603,m/s2,phone,motion
2026-01-01 05:25:57,patient-001,phone_accelerometer_y,2.756,m/s2,phone,motion
2026-01-01 05:38:37,patient-001,phone_accelerometer_z,6.388,m/s2,phone,motion
2026-01-01 05:51:27,patient-001,phone_gyroscope_x,0.1453,rad/s,phone,motion
2026-01-01 06:04:16,patient-001,phone_gyroscope_y,-0.0776,rad/s,phone,motion
2026-01-01 06:17:33,patient-001,phone_gyroscope_z,-0.0642,rad/s,phone,motion
2026-01-01 06:30:13,patient-001,phone_magnetometer_x,28.52,microtesla,phone,motion
2026-01-01 06:43:59,patient-001,phone_magnetometer_y,17.04,microtesla,phone,motion
2026-01-01 06:56:35,patient-001,phone_magnetometer_z,30.92,microtesla,phone,motion
2026-01-01 07:09:24,patient-001,phone_barometer_pressure,1002.5,hPa,phone,motion
2026-01-01 07:22:57,patient-001,phone_ambient_light_lux,341.3,lux,phone,motion
2026-01-01 07:35:06,patient-001,phone_proximity_state,far,none,phone,motion
2026-01-01 07:48:35,patient-001,phone_step_detector_event,step,none,phone,motion
2026-01-01 08:01:38,patient-001,phone_step_counter_value,13264,steps,phone,motion
2026-01-01 08:14:33,patient-001,phone_activity_recognition_state,stationary,none,phone,motion
2026-01-01 08:27:55,patient-001,phone_app_foreground_package,com.apple.MobileSMS,none,phone,app_usage
2026-01-01 08:40:43,patient-001,phone_app_foreground_name,Spotify,none,phone,app_usage
2026-01-01 08:53:15,patient-001,phone_notification_posted_app,Messages,none,phone,app_usage
2026-01-01 09:06:39,patient-001,phone_notification_removed_app,Fitbit,none,phone,app_usage
2026-01-01 09:19:25,patient-001,phone_sms_received_event,none,none,phone,communication
2026-01-01 09:32:05,patient-001,phone_sms_sent_event,none,none,phone,communication
2026-01-01 09:45:35,patient-001,phone_call_state,idle,none,phone,communication
2026-01-01 09:58:53,patient-001,phone_call_direction,none,none,phone,communication
2026-01-01 10:11:35,patient-001,phone_keyboard_visible_state,hidden,none,phone,device
2026-01-01 10:24:53,patient-001,phone_clipboard_changed_event,none,none,phone,device
